COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
SC337998,ดุษฎีนิพนธ์,DISSERTATION,1,36,36
SC337999,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
342496,โครงงานคอมพิวเตอร์ 2,COMPUTER PROJECT II,3,3,3
SC313004,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3,3,3
SC313005,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
SC313006,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3,3,3
SC313101,วิทยาการคำนวณ,COMPUTATIONAL SCIENCE,3,3,3
SC313102,โครงข่ายประสาท,NEURAL NETWORKS,3,3,3
SC313103,การวิเคราะห์วิทยาข้อมูลและการทำเหมืองข้อมูล,DATA ANALYTICS AND MINING,3,3,3
SC313107,การวิเคราะห์ข้อมูลขนาดใหญ่,BIG DATA ANALYTICS,3,3,3
SC313201,การประมวลผลภาพดิจิทัล,DIGITAL IMAGE PROCESSING,3,3,3
SC313302,การเชื่อมต่ออินเตอร์เน็ต,INTERNETWORKING,3,3,3
SC333033,ภูมิศาสตร์ของดิน,SOIL GEOGRAPHY,3,3,3
SC334003,ภูมิสารสนเทศศาสตร์ประยุกต์,APPLIED GEO-INFORMATICS,3,3,3
SC332102,หลักการทำแผนที่,PRINCIPLES OF CARTOGRAPHY,2,2,2
SC332213,การสำรวจรังวัดและระบบกำหนดตำแหน่งบนโลก,SURVEYING AND GLOBAL POSITIONING SYSTEM,3,3,3
SC333201,การวิเคราะห์เชิงพื้นที่,GEOSPATIAL ANALYSIS,3,3,3
